N: 2000, 	P: -4, 	S: 125.0000, 	Time(ms): 0.001564
N: 2000, 	P: -3, 	S: 250.0000, 	Time(ms): 0.001682
N: 2000, 	P: -2, 	S: 500.0000, 	Time(ms): 0.001497
N: 2000, 	P: -1, 	S: 1000.0000, 	Time(ms): 0.001504
N: 2000, 	P: 0, 	S: 2000, 	Time(ms): 0.001575
N: 2000, 	P: 1, 	S: 4000, 	Time(ms): 0.001641
N: 2000, 	P: 2, 	S: 8000, 	Time(ms): 0.001599
N: 2000, 	P: 3, 	S: 16000, 	Time(ms): 0.001554
N: 4000, 	P: -4, 	S: 250.0000, 	Time(ms): 0.003488
N: 4000, 	P: -3, 	S: 500.0000, 	Time(ms): 0.003317
N: 4000, 	P: -2, 	S: 1000.0000, 	Time(ms): 0.003294
N: 4000, 	P: -1, 	S: 2000.0000, 	Time(ms): 0.003199
N: 4000, 	P: 0, 	S: 4000, 	Time(ms): 0.003565
N: 4000, 	P: 1, 	S: 8000, 	Time(ms): 0.003295
N: 4000, 	P: 2, 	S: 16000, 	Time(ms): 0.003235
N: 4000, 	P: 3, 	S: 32000, 	Time(ms): 0.00306
N: 8000, 	P: -4, 	S: 500.0000, 	Time(ms): 0.00679
N: 8000, 	P: -3, 	S: 1000.0000, 	Time(ms): 0.006519
N: 8000, 	P: -2, 	S: 2000.0000, 	Time(ms): 0.006313
N: 8000, 	P: -1, 	S: 4000.0000, 	Time(ms): 0.006381
N: 8000, 	P: 0, 	S: 8000, 	Time(ms): 0.00643
N: 8000, 	P: 1, 	S: 16000, 	Time(ms): 0.006528
N: 8000, 	P: 2, 	S: 32000, 	Time(ms): 0.006367
N: 8000, 	P: 3, 	S: 64000, 	Time(ms): 0.006536
